['draw_foe.py', '5.avi', 'online']
['second', 'image', 'is', './pgm_sample/5.avi/00000204.pgm', '205\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000205.pgm', '206\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000206.pgm', '207\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000207.pgm', '208\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000208.pgm', '209\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000209.pgm', '210\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000210.pgm', '211\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000211.pgm', '212\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000212.pgm', '213\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000213.pgm', '214\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000214.pgm', '215\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000215.pgm', '216\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000216.pgm', '217\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000217.pgm', '218\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000218.pgm', '219\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000219.pgm', '220\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000220.pgm', '221\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000221.pgm', '222\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000222.pgm', '223\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000223.pgm', '224\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000224.pgm', '225\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000225.pgm', '226\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000226.pgm', '227\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000227.pgm', '228\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000228.pgm', '229\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000229.pgm', '230\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000230.pgm', '231\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000231.pgm', '232\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000232.pgm', '233\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000233.pgm', '234\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000234.pgm', '235\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000235.pgm', '236\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000236.pgm', '237\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000237.pgm', '238\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000238.pgm', '239\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000239.pgm', '240\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000240.pgm', '241\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000241.pgm', '242\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000242.pgm', '243\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000243.pgm', '244\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000244.pgm', '245\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000245.pgm', '246\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000246.pgm', '247\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000247.pgm', '248\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000248.pgm', '249\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000249.pgm', '250\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000250.pgm', '251\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000251.pgm', '252\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000252.pgm', '253\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000253.pgm', '254\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000254.pgm', '255\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000255.pgm', '256\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000256.pgm', '257\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000257.pgm', '258\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000258.pgm', '259\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000259.pgm', '260\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000260.pgm', '261\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000261.pgm', '262\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000262.pgm', '263\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000263.pgm', '264\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000264.pgm', '265\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000265.pgm', '266\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000266.pgm', '267\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000267.pgm', '268\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000268.pgm', '269\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000269.pgm', '270\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000270.pgm', '271\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000271.pgm', '272\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000272.pgm', '273\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000273.pgm', '274\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000274.pgm', '275\n']
['second', 'image', 'is', './pgm_sample/5.avi/00000275.pgm', '276\n']
